FileName,Label
45945143,12
13822720,13
29401262,24
75265681,20
28008132,29
83320221,15
40001941,31
38279334,29
56371361,29
9730909,27
57164307,2
50698138,8
93010081,35
11777641,9
7154596,16
91921382,21
62681224,11
88026092,5
40974469,4
40807177,8
38499870,16
6360227,8
53165942,10
53896130,18
18672411,17
23425624,34
19709310,33
52056802,18
79343055,1
21324749,12
94680134,18
13103542,17
40139908,1
95770592,32
32695361,8
47042970,26
16065222,19
74721270,7
18924290,32
33824149,4
35199721,32
24748378,3
32554546,17
1380066,10
27987680,18
20107104,12
88839962,34
42424929,7
62147916,2
20490018,24
48300437,28
47306150,28
27170943,34
63300269,28
2220008,33
77169328,33
89135603,35
74936698,6
69331308,7
13436041,12
42495249,21
47881833,16
61423560,19
62358665,26
35575981,30
22621722,26
41017096,6
69409173,9
24041951,35
33127605,30
70750787,26
91562052,25
45695965,18
88774223,19
48355241,12
85672316,12
24751924,9
672727,24
90890571,3
79936846,9
58861656,4
67364952,35
89632486,31
90101107,3
57626773,31
11456255,33
8544723,30
55823186,17
48333917,21
61467197,27
84362795,23
45120755,24
60458171,30
32856885,27
11967783,19
82888612,14
51583026,31
28696515,34
55960091,9
25597947,28
21995143,5
85581458,12
44963372,1
9510530,7
5652772,1
56410754,28
9941521,2
71895657,7
89606064,30
70265371,17
14245870,15
51147141,7
77325803,10
79941373,22
74752411,32
80950115,27
94411802,12
68141573,1
31864268,25
75184519,13
92113958,32
33233882,1
23784336,23
81668714,9
9766500,26
38320129,31
35613713,2
40487344,24
87351951,10
60682131,12
86670792,14
87516619,13
92499186,20
70451956,27
20332686,24
18117609,13
28822685,29
95349059,15
81262253,16
94390096,13
64060291,32
92797401,26
26828075,7
11595145,6
17275063,19
37358874,28
20222390,28
60937606,20
89335137,16
15225827,31
57484276,1
37076721,14
86468178,18
18654942,7
51446488,11
34481245,24
40351231,19
4291401,24
2949368,30
36556756,1
86030918,9
10831328,4
52464631,20
70263426,35
65760545,11
68260549,13
71958834,24
73961551,22
91955464,33
83473114,28
95080791,14
2107854,20
85368628,10
59969959,33
62310261,6
48176973,12
9629817,18
86577125,32
20069434,24
40317173,15
79708733,19
3220604,30
53407284,23
15269075,30
10631192,8
19151391,31
34672349,21
39129378,25
94377,4
53517895,26
70589386,34
79592426,32
52179452,4
46586573,32
97053291,3
29821085,7
76772858,19
43543709,10
67237054,26
83429678,22
50566796,21
79415193,1
90475316,14
72643134,11
83722065,31
25335152,18
64308189,15
418253,17
76303662,13
45186705,14
73138277,18
27005865,26
13511750,7
25258356,17
1576903,24
22327225,12
17715775,13
46520203,20
64148989,12
82733084,8
70256089,12
16131193,32
23465461,28
69024047,16
18615747,21
10648025,22
31651006,28
46828904,3
44532883,13
58075901,24
91698699,32
9751850,1
71283079,24
80020364,34
95750871,7
35896492,4
36334616,34
12615969,26
54046984,12
75648821,18
15352771,15
32985373,30
35685071,24
18832518,35
71945737,23
58792588,22
90186260,10
12129414,15
39343044,31
33307896,12
3801435,22
1069885,35
607308,5
85538363,34
67042368,25
33812357,13
86230959,4
32501304,12
53815987,18
13007929,31
11145537,15
46602831,7
67031,27
56767059,22
3352503,8
56280605,9
44488993,12
34178028,20
71391671,20
51406889,3
61050824,4
84934439,1
91866050,3
73544537,21
62630408,28
99351756,3
95900145,5
19714690,12
25200041,33
84233568,10
60408496,20
11337212,7
6560076,34
51529439,21
15336596,26
12634807,1
78736625,14
48524944,26
68332229,25
69130600,33
3289966,34
88256328,19
17636597,24
17368079,22
12191063,19
99597493,34
44988910,14
78172806,8
97570011,16
7778569,8
18836868,1
13150475,33
68761192,23
74335854,22
48072721,14
90279842,12
15524672,13
29911648,5
6418579,14
39270697,25
78708326,13
48237196,25
32860393,14
63925017,27
20167744,22
25502594,26
65797410,15
88373117,14
1594449,19
32519472,14
99010762,28
47973065,17
65226890,4
71596872,30
4194116,26
23846955,21
91199784,13
96500677,21
89167798,25
85677255,16
53880913,23
80389302,2
45866843,12
12337553,29
42863739,35
42125275,32
55621440,32
44962805,20
55105021,13
41811927,4
23357407,31
74928999,33
29855824,13
28879581,16
54820995,21
14438581,14
64167540,12
53632379,21
14165898,13
80178465,15
23323639,30
83322613,12
65494319,33
49091080,22
60738450,35
79505423,2
30491589,8
44105979,34
68073132,26
51838929,29
3480469,33
92536971,26
68092851,4
82197987,28
49801230,21
62142202,22
94435851,22
93424022,25
17239200,1
16582035,34
73227170,6
65176645,23
16255487,22
59579278,29
68375840,6
20861610,3
70211227,1
79010355,20
82604622,28
35501973,9
29092360,30
67149472,31
61289469,13
32336307,20
31979279,22
42863971,33
12651870,25
49532663,17
53333510,21
6307534,30
69890701,21
71722680,7
71125195,30
87200958,25
32975381,22
64542480,11
74129596,24
41629549,3
9041673,13
37615311,30
55350803,18
74709456,16
71599976,4
11150526,22
89736659,16
57178132,14
87729888,26
78482576,4
88580913,19
93991771,15
73971232,22
93374693,20
44407262,9
69850919,21
56159499,30
53564880,10
74699894,22
89192231,35
87038211,30
32731810,19
89144300,4
53757620,22
66730478,14
36214198,27
53629364,24
55041436,9
66117139,25
52542549,5
38946943,1
